SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,13197 Bayton St NE,Alliance,OH,44601,194900,3,2.5,Alliance,1712,168141,1975,1,114,,Pre On-Market,,,http://www.redfin.com/OH/Alliance/13197-Bayton-St-NE-44601/home/79864074,Yes MLS,4119005,N,Y,40.8786345,-81.1525038
MLS Listing,,Single Family Residential,12647 Marlboro Ave NE,Alliance,OH,44601,125000,4,1.0,Marlboro Sec 14,1666,43560,1890,1,75,,Active,,,http://www.redfin.com/OH/Alliance/12647-Marlboro-Ave-NE-44601/home/66099230,Yes MLS,4118756,N,Y,40.9552225,-81.2143807
MLS Listing,,Single Family Residential,2020 Overcrest St,Alliance,OH,44601,239900,5,2.5,Alliance,2576,20473,1995,3,93,,Active,,,http://www.redfin.com/OH/Alliance/2020-Overcrest-St-44601/home/66521926,Yes MLS,4117751,N,Y,40.9082744,-81.138621
MLS Listing,,Single Family Residential,1069 College Rd,Alliance,OH,44601,95900,3,1.0,Alliance,,,1950,4,,,Active,,,http://www.redfin.com/OH/Alliance/1069-W-College-Rd-44601/home/79866681,Yes MLS,4117714,N,Y,40.904615,-81.120799
MLS Listing,,Single Family Residential,758 Bonnieview Ave,Alliance,OH,44601,142500,3,2.0,Alliance,1144,15681,1997,4,125,,Active,,,http://www.redfin.com/OH/Alliance/758-Bonnieview-Ave-44601/home/66544483,Yes MLS,4117513,N,Y,40.914507,-81.1192843
MLS Listing,,Single Family Residential,1714 S Liberty Ave,Alliance,OH,44601,69900,3,1.0,Alliance,,6098,1948,4,,,Active,,,http://www.redfin.com/OH/Alliance/1714-S-Liberty-Ave-44601/home/66512753,Yes MLS,4117398,N,Y,40.9045932,-81.0959663
MLS Listing,,Single Family Residential,234 Rosenberry St,Alliance,OH,44601,22900,3,1.5,Alliance,1458,5227,1887,8,16,,Active,,,http://www.redfin.com/OH/Alliance/234-Rosenberry-St-44601/home/66564982,Yes MLS,4116792,N,Y,40.9129342,-81.1020012
MLS Listing,,Single Family Residential,2229 S Union Ave,Alliance,OH,44601,110000,3,2.5,Alliance,2995,7840,1892,8,37,,Active,,,http://www.redfin.com/OH/ALLIANCE/2229-S-UNION-AVE-44601/home/113196345,Yes MLS,4116466,N,Y,40.899428,-81.106213
MLS Listing,,Single Family Residential,2507 Pleasant Pl,Alliance,OH,44601,129000,3,1.0,Alliance,1104,10018,1958,8,117,,Active,July-28-2019 01:30 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Alliance/2507-Pleasant-Pl-44601/home/75748226,Yes MLS,4116714,N,Y,40.8964112,-81.1208357
MLS Listing,,Single Family Residential,10705 Easton St NE,Alliance,OH,44601,250000,4,3.0,5374,2184,35283,1959,8,114,,Active,,,http://www.redfin.com/OH/Alliance/10705-Easton-St-NE-44601/home/75806382,Yes MLS,4116581,N,Y,40.8705216,-81.1974201
MLS Listing,,Single Family Residential,850 E Rice St,Alliance,OH,44601,119900,3,2.0,Alliance,1604,6969,1920,8,75,,Active,July-28-2019 02:00 PM,July-28-2019 03:30 PM,http://www.redfin.com/OH/Alliance/850-Rice-St-44601/home/66369773,Yes MLS,4116452,N,Y,40.9035585,-81.0942419
MLS Listing,,Townhouse,8736 Lynn Park St NE,Alliance,OH,44601,175000,4,2.0,Verlynn Estates Allotment 01,2394,32234,1968,9,73,,Active,,,http://www.redfin.com/OH/Alliance/8736-Lynn-Park-St-NE-44601/home/70529931,Yes MLS,4116278,N,Y,40.9574183,-81.2303049
MLS Listing,,Condo/Co-op,1855 Northview Ave,Alliance,OH,44601,132500,2,2.0,Northview Condo,1247,30927,1999,9,106,179,Active,,,http://www.redfin.com/OH/Alliance/1855-Northview-Ave-44601/unit-5/home/66371151,Yes MLS,4116151,N,Y,40.90346,-81.131724
PAST SALE,January-19-2016,Single Family Residential,12824 Wentz Ave NE,Alliance,OH,44601,130000,4,2.5,Verlynn Estates,,20037,1979,9,,,Pending,,,http://www.redfin.com/OH/Alliance/12824-Wentz-Ave-NE-44601/home/66289066,Yes MLS,4113303,N,Y,40.9579254,-81.2272064
MLS Listing,,Single Family Residential,2317 Burton Ave,Alliance,OH,44601,119900,3,1.0,Alliance,1613,9147,1955,11,74,,Active,,,http://www.redfin.com/OH/Alliance/2317-Burton-Ave-44601/home/75725080,Yes MLS,4115341,N,Y,40.8988792,-81.1195645
MLS Listing,,Single Family Residential,2905 Cedarwood,Alliance,OH,44601,389900,4,3.5,Alliance,5100,17424,1999,11,76,,Active,,,http://www.redfin.com/OH/Alliance/2905-Cedarwood-Dr-44601/home/79864602,Yes MLS,4115199,N,Y,40.8933156,-81.1195645
MLS Listing,,Single Family Residential,1535 Glenking Ln,Alliance,OH,44601,299900,4,2.5,Alliance,2349,17424,1959,13,128,,Active,,,http://www.redfin.com/OH/Alliance/1535-Glenking-Ln-44601/home/75747665,Yes MLS,4114911,N,Y,40.906124,-81.1273858
MLS Listing,,Single Family Residential,11667 Klinger Ave NE,Alliance,OH,44601,85000,2,1.5,Alliance,,77536,1930,14,,,Active,,,http://www.redfin.com/OH/Alliance/11667-Klinger-Ave-NE-44601/home/75758494,Yes MLS,4114756,N,Y,40.9398868,-81.1264378
MLS Listing,,Vacant Land,Snode Rd,Alliance,OH,44601,74900,,,Alliance,,218671,,14,,,Active,,,http://www.redfin.com/OH/Lexington-Township/Snode-St-NE-44601/home/75791023,Yes MLS,4114739,N,Y,40.953642,-81.171869
MLS Listing,,Single Family Residential,14487 Ardmore Dr NE,Alliance,OH,44601,92000,3,2.0,Bon Air,1300,10018,1997,14,71,,Active,,,http://www.redfin.com/OH/Alliance/14487-Ardmore-Dr-NE-44601/home/79953770,Yes MLS,4114702,N,Y,40.9455617,-81.1213529
MLS Listing,,Townhouse,199 W Main St,Alliance,OH,44601,324000,14,8.0,J R Haines Add,8040,33105,1937,15,40,,Active,,,http://www.redfin.com/OH/Alliance/199-W-Main-St-44601/home/66573532,Yes MLS,4114118,N,Y,40.9219315,-81.1098564
MLS Listing,,Vacant Land,0001 Union Ave N,Alliance,OH,44601,30000,,,Alliance,,27878,,15,,,Active,,,http://www.redfin.com/OH/Alliance/0001-N-Union-Ave-44601/home/167228133,Yes MLS,4114311,N,Y,40.9280894,-81.105785
