School,SchoolOrHome,Type,Latitude,Longitude
Lake Erie International High School,School,Public,41.483799,-81.7683914
Foundation Academy,School,Public,40.7803792,-82.5528218
"Columbus Humanities, Arts and Technology Academy",School,Public,40.0605336,-82.9831519
Toledo SMART Elementary School,School,Public,0,0
Berwyn East Academy,School,Public,39.9181417,-82.8804596
Focus Learning Academy of Southeastern Columbus,School,Public,39.9158163,-82.876975
Hope Learning Academy of Toledo,School,Public,41.6829101,-83.6079435
Electronic Classroom Of Tomorrow,School,Public,0,0
Constellation Schools: Old Brooklyn Community Elementary,School,Public,41.433941,-81.7077967
Middletown Preparatory & Fitness Academy,School,Public,39.5157075,-84.4100787
A+ Arts Academy,School,Public,39.9632928,-82.962526
Columbus Arts & Technology Academy,School,Public,39.9275986,-82.8847551
Columbus Preparatory Academy,School,Public,39.9850413,-83.0936529
Lakeshore Intergenerational School,School,Public,41.5842156,-81.5539544
Orion Academy,School,Public,39.1264533,-84.5580071
Towpath Trail High School,School,Public,41.0895024,-81.5264321
Constellation Schools: Stockyard Community Middle,School,Public,41.4674609,-81.7307281
Constellation Schools: Parma Community,School,Public,41.3788836,-81.7375923
Eagle Academy,School,Public,0,0
Constellation Schools: Collinwood Village Academy,School,Public,0,0
Aurora Academy,School,Public,0,0
Greater Ohio Virtual School,School,Public,39.4071689,-84.2112792
Cincinnati Technology Academy,School,Public,39.1143455,-84.5758231
Summit Academy Transition High School-Cincinnati,School,Public,39.1976462,-84.5443292
Par Excellence Academy,School,Public,40.0609248,-82.4521726
Citizens Leadership Academy,School,Public,41.5090304,-81.619349
Ohio College Preparatory School,School,Public,41.4137528,-81.5314434
Summit Academy School - Lorain,School,Public,41.4718556,-82.1624822
Midnimo Cross Cultural Community School,School,Public,40.0144665,-82.9685443
Lakewood City Academy,School,Public,0,0
Akron Preparatory School,School,Public,41.0657838,-81.4842587
Canton College Preparatory School,School,Public,40.7992305,-81.3766356
Summit Academy Community School for Alternative Learn-Canton,School,Public,40.7810349,-81.3832884
Life Skills Ctr Of Youngstown,School,Public,0,0
Alternative Education Academy,School,Public,41.6592142,-83.5469095
Hamilton Cnty Math & Science,School,Public,39.2771244,-84.5709107
East Preparatory Academy,School,Public,41.5147462,-81.6609237
