Sponsor IRN,Sponsor,School IRN,School,Telephone,Address,Public District Location IRN,Public District Location,County,First Year of Operation,Grade Levels Served,ConvOrStartup,PhysOrVirtual,School Type 3,Percent Minority,Percent Economically Disadvantaged,Percent Students with Disabilities,Percent Limited English Proficient,Attendance Rate,Overall Grade 2018,Overall Value-Added Grade 2018,Gifted Value-Added Grade 2018,Students with Disabilities Value-Added Grade 2018,Lowest 20% Value-Added Grade 2018,Highly Mobile Value-Added Grade 2018,Graduation Component Grade 2018,Five Year Graduation Rate Grade 2018,Gap Closing Component Grade 2018,Success Component Grade 2018,K3 Literacy Grade 2018,Overall Value-Added Grade 2017,Gifted Value-Added Grade 2017,Students with Disabilities Value-Added Grade 2017,Lowest 20% Value-Added Grade 2017,Highly Mobile Value-Added Grade 2017,Graduation Component Grade 2017,Five Year Graduation Rate Grade 2017,Gap Closing Component Grade 2017,Success Component Grade 2017,K3 Literacy Grade 2017,Overall Value-Added Grade 2016,Gifted Value-Added Grade 2016,Students with Disabilities Value-Added Grade 2016,Lowest 20% Value-Added Grade 2016,Highly Mobile Value-Added Grade 2016,Graduation Component Grade 2016,Five Year Graduation Rate Grade 2016,Gap Closing Component Grade 2016,Success Component Grade 2016,K3 Literacy Grade 2016,Overall Value-Added Grade 2015,Gifted Value-Added Grade 2015,Students with Disabilities Value-Added Grade 2015,Lowest 20% Value-Added Grade 2015,Highly Mobile Value-Added Grade 2015,Five Year Graduation Rate Grade 2015,K3 Literacy Grade 2015,Overall Value-Added Grade 2014,Gifted Value-Added Grade 2014,Students with Disabilities Value-Added Grade 2014,Lowest 20% Value-Added Grade 2014,Five Year Graduation Rate Grade 2014,Overall Value-Added Grade 2013,Gifted Value-Added Grade 2013,Students with Disabilities Value-Added Grade 2013,Lowest 20% Value-Added Grade 2013,Five Year Graduation Rate Grade 2013,Latitude,Longitude,isClosed
083246,St Aloysius Orphanage,151183,Lake Erie International High School,(216) 5397229,"11650 Detroit Ave, Cleveland, OH 44102",43786,Cleveland Municipal,Cuyahoga,FY03,"9-12,UNG",Startup,Site,Dropout Prevention and Recovery,0.626063766,1,0.233698385,0.069433209,0.337939587,Meets Standards,10.2,Meets Standards,12.2,Meets Standards,13.8,Meets Standards,Does Not Meet Standards,6.6,11.8,Meets Standards,Does Not Meet Standards,7.2,Does Not Meet Standards,8,Meets Standards,16.4,5.1,Does Not Meet Standards,Does Not Meet Standards,8.7,46.9,Does Not Meet Standards,5.5,Meets Standards,14,Does Not Meet Standards,Does Not Meet Standards,6.7,5.6,Does Not Meet Standards,1.7,Does Not Meet Standards,Meets Standards,Meets Standards,48,6.2,3.6,Does Not Meet Standards,3.9,Does Not Meet Standards,2.9,4.1,33.3,Does Not Meet Standards,1.7,Does Not Meet Standards,Does Not Meet Standards,41.483799,-81.7683914,No
016998,Ohio Council of Community Schools,009192,Foundation Academy,(419) 5269540,"1050 Wyandotte Ave, Mansfield, OH 44906",44297,Mansfield City,Richland,FY08,K-12,Startup,Site,General Education,0.601075125,1,0.117537664,--,0.927555543,D,B,NR,F,C,NR,NR,NR,F,NR,D,A,NR,D,B,NR,NR,NR,F,NR,C,B,NR,NR,C,NR,NR,NR,F,NR,F,A,NR,D,B,NR,NR,NR,A,NR,B,B,NR,A,NR,C,A,NR,40.7803792,-82.5528218,No
016998,Ohio Council of Community Schools,000553,"Columbus Humanities, Arts and Technology Academy",(614) 2611200,"1333 Morse Rd, Columbus, OH 43229",43802,Columbus City School District,Franklin,FY05,K-12,Startup,Site,General Education,0.97378893,0.994814789,0.053046996,0.412975083,0.931334686,B,A,NR,C,A,NR,NR,NR,A,NR,C,A,NR,NR,A,NR,NR,NR,F,NR,D,F,NR,NR,D,NR,NR,NR,F,NR,F,A,NR,D,A,NR,NR,D,A,NR,NR,C,NR,A,NR,NR,B,NR,40.0605336,-82.9831519,No
000862,Buckeye Community Hope Foundation,014864,Toledo SMART Elementary School,,,44909,Toledo City,Lucas,FY15,"#N/A",Startup,Site,General Education,0.929573839,1,0.18144065,0.390207977,0.905230396,C,A,NR,NR,C,NR,NR,NR,B,NR,D,A,NR,NR,B,NR,NR,NR,F,NR,D,NR,NR,NR,NR,NR,NR,NR,NR,NR,F,NR,NR,NR,NR,NR,NR,NR,--,--,--,--,--,--,--,--,--,--,0,0,Yes
123257,North Central Ohio ESC,014090,Berwyn East Academy,(614) 5474493,"2741 S Hamilton Rd, Columbus, OH 43232",43802,Columbus City School District,Franklin,FY14,K-8,Conversion,Site,General Education,0.987298918,1,0.073484833,--,0.905228647,D,F,NR,NR,C,NR,NR,NR,B,NR,D,F,NR,NR,F,F,NR,NR,F,NR,D,F,NR,NR,F,NR,NR,NR,F,NR,NR,C,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,--,--,--,--,--,39.9181417,-82.8804596,No
000862,Buckeye Community Hope Foundation,142935,Focus Learning Academy of Southeastern Columbus,(614) 2690150,"4480 Refugee Rd, Columbus, OH 43232",43802,Columbus City School District,Franklin,FY03,9-12,Startup,Site,Dropout Prevention and Recovery,0.867019881,0.99991314,0.195836583,--,0.402267811,Meets Standards,23.5,Meets Standards,28,Meets Standards,26.7,Meets Standards,Meets Standards,17.2,23.7,Meets Standards,Meets Standards,21.1,Meets Standards,19.8,Meets Standards,19.8,16.4,Meets Standards,Meets Standards,19.2,46.2,Does Not Meet Standards,6.9,Meets Standards,15.6,Meets Standards,Meets Standards,18.7,14.4,Meets Standards,46.8,Does Not Meet Standards,Does Not Meet Standards,Meets Standards,34.6,10.6,13.8,Does Not Meet Standards,11.8,Does Not Meet Standards,7.9,11.8,36,Meets Standards,8,Meets Standards,Does Not Meet Standards,39.9158163,-82.876975,No
123257,North Central Ohio ESC,014091,Hope Learning Academy of Toledo,,"4234 Monroe St, Toledo, OH 43606",44909,Toledo City,Lucas,FY14,K-12,Conversion,Site,Special Education,0.680984381,0.596985112,0.683981115,--,0.932356651,D,C,NR,NR,NR,NR,NR,NR,F,NR,F,C,NR,NR,NR,NR,NR,NR,F,NR,NR,B,NR,NR,NR,NR,NR,NR,F,NR,NR,C,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,--,--,--,--,--,41.6829101,-83.6079435,No
048199,ESC of Lake Erie West,133413,Electronic Classroom Of Tomorrow,,,43802,Columbus City School District,Franklin,FY01,"#N/A",Startup,Virtual,General Education,0.308497138,0.689178082,0.212683834,0.008974551,0.908569054,D,NR,NR,NR,NR,NR,F,F,F,F,D,F,NR,F,F,F,F,F,F,F,D,F,NR,F,F,F,F,F,F,F,F,F,NR,C,C,A,F,F,F,NR,F,F,F,F,NR,F,F,F,0,0,Yes
048199,ESC of Lake Erie West,134098,Constellation Schools: Old Brooklyn Community Elementary,(216) 6617888,"4430 State Rd, Cleveland, OH 44109",43786,Cleveland Municipal,Cuyahoga,FY99,K-4,Startup,Site,General Education,0.386770127,0.4927707,0.091583508,--,0.941784457,D,F,NR,NR,F,NR,NR,NR,D,NR,D,F,NR,B,F,NR,NR,NR,B,NR,C,F,NR,NR,F,NR,NR,NR,F,NR,F,D,NR,F,C,NR,NR,B,F,NR,NR,D,NR,F,NR,NR,NR,NR,41.433941,-81.7077967,No
016998,Ohio Council of Community Schools,143214,Middletown Preparatory & Fitness Academy,(513) 4246110,"816 2nd Ave, Middletown, OH 45044",44404,Middletown City,Butler,FY03,K-8,Startup,Site,General Education,0.782873351,1,0.25448651,0.20994325,0.932210085,C,F,NR,F,D,NR,NR,NR,A,NR,D,F,NR,B,D,NR,NR,NR,F,NR,F,C,NR,D,B,NR,NR,NR,F,NR,F,F,NR,C,B,NR,NR,C,A,NR,C,B,NR,A,NR,NR,C,NR,39.5157075,-84.4100787,No
