School,Latitude,Longitude
Lake Erie International High School,41.483799,-81.7683914
Foundation Academy,40.7803792,-82.5528218
"Columbus Humanities, Arts and Technology Academy",40.0605336,-82.9831519
Toledo SMART Elementary School,0,0
Berwyn East Academy,39.9181417,-82.8804596
Focus Learning Academy of Southeastern Columbus,39.9158163,-82.876975
Hope Learning Academy of Toledo,41.6829101,-83.6079435
Electronic Classroom Of Tomorrow,0,0
Constellation Schools: Old Brooklyn Community Elementary,41.433941,-81.7077967
Middletown Preparatory & Fitness Academy,39.5157075,-84.4100787
A+ Arts Academy,39.9632928,-82.962526
Columbus Arts & Technology Academy,39.9275986,-82.8847551
Columbus Preparatory Academy,39.9850413,-83.0936529
Lakeshore Intergenerational School,41.5842156,-81.5539544
Orion Academy,39.1264533,-84.5580071
Towpath Trail High School,41.0895024,-81.5264321
Constellation Schools: Stockyard Community Middle,41.4674609,-81.7307281
Constellation Schools: Parma Community,41.3788836,-81.7375923
Eagle Academy,0,0
Constellation Schools: Collinwood Village Academy,0,0
Aurora Academy,0,0
Greater Ohio Virtual School,39.4071689,-84.2112792
Cincinnati Technology Academy,39.1143455,-84.5758231
Summit Academy Transition High School-Cincinnati,39.1976462,-84.5443292
Par Excellence Academy,40.0609248,-82.4521726
Citizens Leadership Academy,41.5090304,-81.619349
Ohio College Preparatory School,41.4137528,-81.5314434
Summit Academy School - Lorain,41.4718556,-82.1624822
Midnimo Cross Cultural Community School,40.0144665,-82.9685443
Lakewood City Academy,0,0
Akron Preparatory School,41.0657838,-81.4842587
Canton College Preparatory School,40.7992305,-81.3766356
Summit Academy Community School for Alternative Learn-Canton,40.7810349,-81.3832884
Life Skills Ctr Of Youngstown,0,0
Alternative Education Academy,41.6592142,-83.5469095
Hamilton Cnty Math & Science,39.2771244,-84.5709107
East Preparatory Academy,41.5147462,-81.6609237
Auglaize County Educational Academy,40.729134,-84.088078
The Academy for Urban Scholars,39.9679698,-82.9527184
Focus North High School,40.0645425,-82.9949808
Dayton SMART Elementary School,39.7533491,-84.1765458
Graham Elementary and Middle School,40.0016762,-83.0044532
Horizon Science Academy Toledo,41.6927905,-83.6066648
Horizon Science Academy Dayton Downtown,39.7629094,-84.1542919
Townsend North Community School,41.399314,-82.802072
STEAM Academy of Dayton,0,0
Citizens Academy Southeast,41.4456554,-81.5706538
Wildwood Environmental Academy,41.6117359,-83.687112
Ashland County Community Academy,40.8733094,-82.3132875
STEAM Academy of Warrensville Heights,41.4320052,-81.4988596
Stepstone Academy,41.4997304,-81.6636481
Marshall High School,39.4991005,-84.3463586
River Gate High School,41.2346989,-80.8127338
International Acad Of Columbus,40.0878843,-82.9527604
Schnee Learning Center,41.1372538,-81.4542055
The Capella Institute,0,0
Horizon Science Academy-Denison Middle School,41.4517134,-81.6930403
New Day Academy Boarding & Day School,41.5532297,-81.56119
Apex Academy,41.5416253,-81.5662838
Village Preparatory School:: Woodland Hills Campus,41.4631435,-81.6222603
Oakstone Community School,40.0872973,-82.9516261
"Edge Academy, The",41.0837429,-81.5067925
Focus Learning Academy of Northern Columbus,40.0874007,-82.9683859
Zenith Academy,40.062163,-82.9667465
"Graham School, The",40.044994,-82.999248
Near West Intergenerational School,41.4851402,-81.7139214
Summit Academy Middle School - Columbus,39.91443,-82.958219
Entrepreneurship Preparatory School - Woodland Hills Campus,41.4631435,-81.6222603
STEAM Academy of Warren,41.2385643,-80.8119118
Youthbuild Columbus Community,39.9885761,-82.9884164
Foxfire Intermediate School,39.8957947,-82.0476945
Dohn Community,39.1266763,-84.4979244
Richard Allen Academy II,0,0
Heir Force Community School,40.7512421,-84.1061537
Summit Academy Transition High School-Columbus,39.91443,-82.958219
Regent High School,41.4654219,-81.6500597
AchievePoint Career Academy - Cincinnati,39.1303484,-84.6131203
Summit Academy Alternative LearnersWarren Middle & Secondary,41.248531,-80.8412929
Mason Run High School,39.9521483,-82.9160529
Steel Academy,41.1069315,-81.4770292
Old Brook High School,41.4249407,-81.7205562
Toledo Preparatory and Fitness Academy,41.6371796,-83.6136404
Mound Street IT Careers Academy,0,0
Arts & College Preparatory Academy,39.9340289,-82.8743675
Columbus Preparatory and Fitness Academy,39.9291937,-83.0892325
Summit Academy Community School-Columbus,39.91443,-82.958219
