,IRN,ORGANIZATION NAME,GRADE SPAN,Address,ORG PHONE,Latitude,Longitude
0,828,Anton Grdina ,"P,K-8","2955 E 71st St, Cleveland, Ohio, 44104",(216) 838-1150,41.4782583,-81.63895509999998
1,7849,Crosby Elementary School,K-5,"8382 New Haven Rd, Harrison, Ohio, 45030",(513) 738-1717,39.2766386,-84.71695799999998
2,711,Pymatuning Valley Primary Elementary School,K-4,"5571 State Route 6, Andover, Ohio, 44003",(440) 293-6206,41.60943959999999,-80.58543159999998
3,1107,Buckeye Valley East Elementary School,"K-4,P","522 E High St, Ashley, Ohio, 43003",(740) 363-2253,40.40946479999999,-82.94717759999997
4,1396,Avondale Elementary School,"K-5,P","141 Hawkes Ave, Columbus, Ohio, 43222",(614) 365-6511,39.95621129999999,-83.02555490000002
5,1602,Barnesville High School,9-12,"910 Shamrock Dr, Barnesville, Ohio, 43713",(740) 425-3617,39.98684340000001,-81.1571965
6,1891,Bear Elementary School,K-5,"545 School St, Miamisburg, Ohio, 45342",(937) 866-4691,39.634013,-84.30273000000003
7,2782,Black River High School,9-12,"233 County Road 40, Sullivan, Ohio, 44880",(419) 736-3303,41.0567498,-82.1734877
8,4564,Caldwell Elementary School,K-8,"44350 Fairgrounds Rd, Caldwell, Ohio, 43724",(740) 732-4614,39.7401764,-81.5245848
9,6841,Thurgood Marshall High School,9-12,"4447 Hoover Ave, Dayton, Ohio, 45417",(937) 542-6610,39.76282459999999,-84.261184
10,8623,Dorothy E Lewis Elementary School,"K,1-4,UNG","32345 Cannon Rd, Solon, Ohio, 44139",(440) 349-6225,41.410958,-81.44975199999998
11,9514,East High School ,9-12,"1500 E Broad St, Columbus, Ohio, 43205",(614) 365-6096,39.9671025,-82.96088139999998
12,10512,Emerson Primary School,K-2,"901 Campbell Rd, Sidney, Ohio, 45365",(937) 497-2261,40.2795769,-84.16968469999998
13,11692,Firestone High School,9-12,"470 Castle Blvd, Akron, Ohio, 44313",(330) 873-3315,41.1189134,-81.56469859999999
14,2170,Benjamin Logan Elementary School,K-4,"4560 County Road 26, Bellefontaine, Ohio, 43311",(937) 592-4838,40.4100017,-83.6531938
15,3061,Boardman High School,9-12,"7777 Glenwood Ave, Youngstown, Ohio, 44512",(330) 758-7511,41.0111623,-80.66847369999998
16,7120,Como Elementary School,"K-5,P","2989 Reis Ave, Columbus, Ohio, 43224",(614) 365-6013,40.0258513,-82.99261489999998
17,10967,Fairfax Elementary School,K-5,"3150 Fairfax Rd, Cleveland Heights, Ohio, 44118",(216) 371-7480,41.4926963,-81.5658982
18,59,Ada Elementary School,K-6,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2341,40.7747376,-83.82948259999998
19,5298,Centerburg High School,9-12,"3782 Columbus Rd, Centerburg, Ohio, 43011",(740) 625-6055,40.294354,-82.705479
20,5504,Davey Elementary School,"K-5,P","196 N Prospect St, Kent, Ohio, 44240",(330) 673-6703,41.1576828,-81.3670015
21,5793,Chambers Elementary School,K-6,"14121 Shaw Ave, East Cleveland, Ohio, 44112",(216) 268-6640,41.5408925,-81.5832041
22,6189,Chestnut Intermediate Elementary School,3-5,"30395 Lorain Rd, North Olmsted, Ohio, 44070",(440) 588-5500,41.3990777,-81.9532042
23,8961,East Canton High School,9-12,"310 Browning Ct N, East Canton, Ohio, 44730",(330) 488-0316,40.7893435,-81.27917579999998
24,10355,Toth Elementary School,K-4,"200 E 7th St, Perrysburg, Ohio, 43551",(419) 874-3123,41.5537307,-83.62162339999998
25,1446,Badger High School,9-12,"7119 State Route 7, Kinsman, Ohio, 44428",(330) 876-2820,41.4137132,-80.57942990000002
26,2337,Belpre High School,7-12,"300 Stone Rd, Belpre, Ohio, 45714",(740) 423-3000,39.2750849,-81.5771012
27,2832,Blanchester Middle School,6-8,"955 Cherry St, Blanchester, Ohio, 45107",(937) 783-3642,39.299119,-83.96756359999998
28,3228,Botkins High School,7-12,"404 E State St, Botkins, Ohio, 45306",(937) 693-4241,40.4688865,-84.17961439999998
29,4119,Buckeye Elementary School,K-2,"1200 Buckeye Ave, Salem, Ohio, 44460",(330) 332-8917,40.9133641,-80.85948690000002
30,4614,Cambridge Middle School,6-8,"1400 Deerpath Dr, Cambridge, Ohio, 43725",(740) 435-1140,40.0514871,-81.5829546
31,5181,Cedarwood Alternative Elementary School,"K-5,P","775 Bartfield Dr, Columbus, Ohio, 43207",(614) 365-5421,39.884089,-82.979327
32,6072,Swanton Middle School,5-8,"101 Elton Pkwy, Swanton, Ohio, 43558",(419) 826-4016,41.5844508,-83.89374939999998
33,11247,Fairview-Clifton German Language School,"K-6,P","3689 Clifton Ave, Cincinnati, Ohio, 45220",(513) 363-2100,39.1494666,-84.51967929999998
34,2220,Bellefontaine High School,9-12,"555 E Lake Ave, Bellefontaine, Ohio, 43311",(937) 593-0545,40.34829310000001,-83.7535323
35,4002,Bryan Elementary,"K-5,P","1301 Center St, Bryan, Ohio, 43506",(419) 636-6931,41.458431,-84.56895290000001
36,9241,East Elementary School,K-5,"470 Fair Ave NE, New Philadelphia, Ohio, 44663",(330) 364-0715,40.4886994,-81.43656829999998
37,11130,Judith A Resnik Community Learning Center,K-5,"65 N Meadowcroft Dr, Akron, Ohio, 44313",(330) 873-3370,41.117169200000006,-81.5832927
38,11908,Berea-Midpark Middle School,5-8,"7000 Paula Dr, Middleburg Heights, Ohio, 44130",(216) 767-8400,41.3778995,-81.80483389999998
39,893,Arcadia High School,9-12,"19033 State Route 12, Arcadia, Ohio, 44804",(419) 894-6431,41.1064685,-83.5150996
40,2675,Bexley High School,9-12,"326 S Cassingham Rd, Bexley, Ohio, 43209",(614) 231-4591,39.963655,-82.9303272
41,3566,Bridgetown Middle School,6-8,"3900 Race Rd, Cincinnati, Ohio, 45211",(513) 574-3511,39.1603573,-84.62837250000003
42,4457,Shaker Hts Middle School,7-8,"20600 Shaker Blvd, Shaker Heights, Ohio, 44122",(216) 295-4100,41.4773421,-81.5334151
43,4952,Louise Troy Elementary School,"K-6,P","1630 Miami Chapel Rd, Dayton, Ohio, 45408",(937) 542-4290,39.7369594,-84.22516259999998
44,5348,London MIddle School,6-8,"270 E Keny Blvd, London, Ohio, 43140",(740) 852-5700,39.9072364,-83.45316070000001
45,6239,Cheviot School,"K-6,P","4040 Harrison Ave, Cincinnati, Ohio, 45211",(513) 363-1400,39.1587027,-84.61720299999998
46,6734,Clinton-Massie High School,9-12,"2556 Lebanon Rd, Clarksville, Ohio, 45113",(937) 289-2109,39.4466924,-83.9851733
47,7625,Norwayne Middle School,6-8,"350 S Main St, Creston, Ohio, 44217",(330) 435-1195,40.965294,-81.9029819
48,9407,Waverly Primary School,K-2,"7 Tiger Drive, Waverly, Ohio, 45690",(740) 947-2813,39.1318936,-83.0023416
49,9902,Edgewater Elementary School,K-8,"5549 Edgewater Dr, Toledo, Ohio, 43611",(419) 671-6750,41.7216689,-83.47042840000002
50,10199,Elida High School,9-12,"401 E North St, Elida, Ohio, 45807",(419) 331-4115,40.78977709999999,-84.195762
51,1172,Atkinson Elementary School,K-5,"1100 Delaware Ave, Fremont, Ohio, 43420",(419) 332-5361,41.3367052,-83.10017320000001
52,9084,East Liverpool High School,9-12,"100 Maine Blvd, East Liverpool, Ohio, 43920",(330) 386-8750,40.6277331,-80.5676996
53,10082,Elida Middle School,5-8,"4500 Sunnydale St, Elida, Ohio, 45807",(419) 331-2505,40.7874998,-84.18741849999998
54,4341,Burroughs Elementary School,"K-5,P","551 S Richardson Ave, Columbus, Ohio, 43204",(614) 365-5923,39.943889,-83.06776479999998
55,5686,Glenwood Middle School,6-8,"1715 N Main St, Findlay, Ohio, 45840",(419) 425-8373,41.0610764,-83.6490864
56,6577,Clearcreek Elementary School,"K-1,P","750 S Main St, Springboro, Ohio, 45066",(937) 748-3958,39.5470479,-84.23243099999998
57,7963,Elmwood Middle School,5-8,"7650 Jerry City Rd, Bloomdale, Ohio, 44817",(419) 655-2583,41.255188,-83.5520465
