,IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,Address,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME,Latitude,Longitude
0,"=""000059""",Ada Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hardin,,,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2341,(419) 634-0311,,,,,,,Robin Vanbuskirk,vanbuskirkr@adabulldogs.org,(419) 634-2746,"=""045187""",Ada Exempted Village,40.7747376,-83.82948259999999
1,"=""000067""",Ada High School,High School,"=""7-12""",Public School,School,Open,Hardin,,,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2746,(419) 634-0311,,,,,,,Robin Vanbuskirk,vanbuskirkr@adabulldogs.org,(419) 634-2746,"=""045187""",Ada Exempted Village,40.7747376,-83.82948259999999
2,"=""000083""",Sandusky Middle School,Middle School,"=""7-8""",Public School,School,Open,Erie,,,"318 Columbus Ave, Sandusky, Ohio, 44870",(419) 984-1180,,,,,,,,Timothy Kozak,tkozak@scs-k12.net,(440) 522-7724,"=""044743""",Sandusky City,41.4541264,-82.70980139999999
3,"=""000117""",Adamsville Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Muskingum,,dmsmith@tvschools.org,"7950 East St, Adamsville, Ohio, 43802",(740) 796-2153,(740) 796-4781,,,,,,,Michael Smith,dmsmith@tvschools.org,(740) 796-2153,"=""048876""",Tri-Valley Local ,40.06601999999999,-81.881849
4,"=""000141""",Addaville Elementary School,Elementary School,"K-5,P",Public School,School,Open,Gallia,,gl_bmitchem@seovec.org,"1333 Brick School Rd, Gallipolis, Ohio, 45631",(740) 367-7283,,,,,,,,Thomas Mitchem,gl_bmitchem@seovec.org,(740) 645-2843,"=""065680""",Gallia County Local,38.90532779999999,-82.17206949999999
5,"=""000190""",Buckeye West Elementary School,Elementary School,"K-6,P",Public School,School,Open,Jefferson,,william.luther@omeresa.net,"243 N Mill St, Adena, Ohio, 43901",(740) 546-3413,(740) 546-3815,,,,,,,James Rocchi,jimrocchi@yahoo.com,(740) 695-0884,"=""047787""",Buckeye Local ,40.2209666,-80.8707436
6,"=""000208""",Adena High School,High School,"=""9-12""",Public School,School,Open,Ross,,,"3367 County Road 550, Frankfort, Ohio, 45628",(740) 998-2313,(740) 998-2317,,,,,,,Joshua Jones,josh.jones@adenalocalschools.com,(740) 466-9506,"=""049494""",Adena Local,39.4156613,-83.19461559999999
7,"=""000224""",Adlai Stevenson School,Elementary School,"=""K-8""",Public School,School,Open,Cuyahoga,,,"18300 Woda, Cleveland, Ohio, 44122",(216) 838-5300,,,,,,,,Christopher Wyland,christopher.wyland@clevelandmetroschools.org,(440) 840-3161,"=""043786""",Cleveland Municipal,41.454865,-81.5509811
8,"=""000232""",Adrian Elementary School,Elementary School,"=""K-3""",Public School,School,Open,Cuyahoga,,,"1071 Homestead Rd, South Euclid, Ohio, 44121",(216) 691-2170,,,,,,,,Kenneth Lasky,Lasky@sel.k12.oh.us,(216) 691-2170,"=""044792""",South Euclid-Lyndhurst City,41.531023,-81.52613699999999
9,"=""000257""",Alexander Elementary School,Elementary School,"K-5,P",Public School,School,Open,Athens,,,"6105 School Road, Albany, Ohio, 45710",(740) 698-8831,(740) 698-2137,,,,,,,Melissa Guffey,mguffey@alexanderschools.org,(740) 698-8831,"=""045906""",Alexander Local,39.2257046,-82.2066378
10,"=""000265""",Albion Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Cuyahoga,,,"9360 Albion Rd, North Royalton, Ohio, 44133",(440) 582-9060,,,,,,,,Vincent Ketterer,vince.ketterer@northroyaltonsd.org,(216) 970-3139,"=""044545""",North Royalton City,41.3372519,-81.7558851
11,"=""000315""",Alexander Jr. / Sr. High School,High School,"=""6-12""",Public School,School,Open,Athens,,,"6125 School Rd, Albany, Ohio, 45710",(740) 698-8831,(740) 698-3614,,,,,,,Franklin Doudna,fdoudna@alexanderschools.org,(740) 698-8831,"=""045906""",Alexander Local,39.2251292,-82.2031908
12,"=""000349""",Upper Scioto Valley Middle School,Middle School,"=""7-8""",Public School,School,Open,Hardin,,,"510 South Courtright Street, Mc Guffey, Ohio, 45859",(419) 757-3231,(419) 757-0135,,,,,,,Craig Hurley,churley@usvschools.org,(419) 757-3231,"=""047522""",Upper Scioto Valley Local,40.691297,-83.7880098
13,"=""000356""",Genoa Elementary,Elementary School,"=""K-5""",Public School,School,Open,Ottawa,,bamurphy@genoaschools.com,"2820 N Genoa Clay Center Rd, Genoa, Ohio, 43430",(419) 855-7741,(419) 855-7741,,,,,,,Yolanda Carmony-Mies,ymcarmony-mies@genoaschools.com,(419) 855-7741,"=""048942""",Genoa Area Local,41.5654008,-83.35853759999999
14,"=""000364""",Allen East High School,High School,"=""9-12""",Public School,School,Open,Allen,,,"9105 Harding Hwy, Harrod, Ohio, 45850",(419) 648-3333,(419) 649-8900,,,,,,,Keith Baumgartner,baumgartnerk@ae.noacsc.org,,"=""045757""",Allen East Local,40.73379600000001,-83.93127299999999
15,"=""000406""",Allen Elementary School,Elementary School,"K-2,P",Public School,School,Open,Stark,,,"1326 Sherrick Rd SE, Canton, Ohio, 44707",(330) 453-2782,,,,,,,,Christen Sedmock,sedmock_c@ccsdistrict.org,(330) 452-5391,"=""043711""",Canton City,40.7844379,-81.36426
16,"=""000448""",Allen East Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Allen,,,"9105 Harding Hwy, Harrod, Ohio, 45850",(419) 648-3333,(419) 648-5282,,,,,,,Larry Altenburger,altenburgerl@alleneastschool.org,(419) 648-3333,"=""045757""",Allen East Local,40.73379600000001,-83.93127299999999
17,"=""000455""",West Elementary,Elementary School,"K-5,P",Public School,School,Open,Vinton,,,"57710 US Highway 50, Mc Arthur, Ohio, 45651",(740) 596-5236,(740) 596-5237,,,,,,,Kevin Waddell,kevin.waddell@vinton.k12.oh.us,(740) 596-5258,"=""050393""",Vinton County Local,39.2722774,-82.60934379999999
18,"=""000463""",Alliance High School,High School,"=""9-12""",Public School,School,Open,Stark,,,"400 Glamorgan St, Alliance, Ohio, 44601",(330) 829-2245,(330) 823-4920,,,,,,,Shawn Jackson,jacksonsh@alliancecityschools.org,(330) 829-2245,"=""043497""",Alliance City,40.9111438,-81.1115052
19,"=""000471""",Sharpsburg Primary ,Elementary School,"K-2,P",Public School,School,Open,Hamilton,http://www.norwoodschools.org,,"4321 Forest Ave, Norwood, Ohio, 45212",(513) 924-2650,(513) 396-5512,,,,,,,Joseph Westendorf,westendorfjoe@gmail.com,(513) 410-1430,"=""044578""",Norwood City ,39.1561686,-84.4494179
20,"=""000489""",Almira,Elementary School,"=""K-8""",Public School,School,Open,Cuyahoga,,,"3375 W 99th St, Cleveland, Ohio, 44102",(216) 838-6150,,,,,,,,James Greene,greenejim@yahoo.com,(440) 339-9520,"=""043786""",Cleveland Municipal,41.4616658,-81.7516976
