PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,LATITUDE,LONGITUDE
Single Family Residential,7088 Shadow Ridge Ct,Liberty Twp,OH,45011,458000,4,4.5,Liberty Twp.,3761,,2000,29,122,59,Active,,,http://www.redfin.com/OH/Liberty-Township/7088-Shadow-Ridge-Ct-45011/home/78934339,39.3774642,-84.4762294
Vacant Land,5445 Sanctuary Pl #25,Liberty Twp,OH,45011,115000,,,Liberty Twp.,,23209,,1,,,Active,,,http://www.redfin.com/OH/Liberty-Township/5445-Sanctuary-Pl-45011/unit-25/home/167931885,39.414926,-84.4175125
Single Family Residential,4706 Sanibel Ln,Liberty Twp,OH,45011,379900,3,2.5,Liberty Twp.,,13068,2010,1,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/4706-Sanibel-Ln-45011/home/78937262,39.4156327,-84.4574864
Single Family Residential,205 Michael Ave,Hamilton,OH,45011,106000,3,1,Hamilton East,925,,1965,2,115,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Hamilton/205-Michael-Ave-45011/home/100692525,39.39003,-84.5364377
Townhouse,9477 Colegate Way,West Chester,OH,45011,129900,2,3,West West Chester,1676,,1989,2,78,298,Active,,,http://www.redfin.com/OH/West-Chester-Township/9477-Colegate-Way-45011/unit-247/home/100685478,39.3194853,-84.4612383
Single Family Residential,6127 Lovelace Dr,Fairfield Twp,OH,45011,375000,4,3,Fairfield Twp.,2419,,2003,2,155,25,Active,,,http://www.redfin.com/OH/Hamilton/6127-Lovelace-Dr-45011/home/78820563,39.40294,-84.5043165
Single Family Residential,5874 Laurel Run Dr,Liberty Twp,OH,45011,546000,3,2,Liberty Twp.,2448,13691,2016,2,223,31,Active,,,http://www.redfin.com/OH/Liberty-Township/5874-Laurel-Run-Dr-45011/home/144935783,39.4061115,-84.4250538
Single Family Residential,7189 Highpoint Blvd,Liberty Twp,OH,45011,299990,4,2.5,Liberty Twp.,3542,20909,1991,3,85,8,Active,July-27-2019 12:00 AM,July-27-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/7189-Highpoint-Blvd-45011/home/63716770,39.3742432,-84.4593111
Single Family Residential,4792 Osprey Pointe Dr,Liberty Twp,OH,45011,339900,4,2.5,Liberty Twp.,,,,4,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/4792-Osprey-Pointe-Dr-45011/home/163035987,39.4141399,-84.4570607
Single Family Residential,6251 Stagecoach Way,Liberty Twp,OH,45011,599000,4,3.5,Liberty Twp.,3802,19798,2015,7,158,79,Active,,,http://www.redfin.com/OH/Liberty-Township/6251-Stagecoach-Way-45011/home/92893777,39.394175,-84.445275
Single Family Residential,5899 Megan Dr,Liberty Twp,OH,45011,315000,4,3.5,Liberty Twp.,2277,18731,1990,7,138,,Active,,,http://www.redfin.com/OH/Liberty-Township/5899-Megan-Dr-45011/home/78755492,39.4069441,-84.4678394
Single Family Residential,7006 Hearthwood Dr,Fairfield Twp,OH,45011,259900,3,2.5,Fairfield Twp.,2074,,2012,8,125,25,Active,,,http://www.redfin.com/OH/Hamilton/7006-Hearthwood-Dr-45011/home/78914128,39.3847656,-84.5020015
Single Family Residential,5819 Happy Ln,Liberty Twp,OH,45011,374990,4,3.5,Liberty Twp.,,,,9,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/5819-Happy-Ln-45011/home/167572575,39.4080729,-84.4633337
Single Family Residential,4645 Stonehaven Dr,Liberty Twp,OH,45011,309900,4,2.5,Liberty Twp.,3027,,2005,9,102,,Active,July-27-2019 12:00 AM,July-27-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/4645-Stonehaven-Dr-45011/home/100666141,39.3842561,-84.4643954
Single Family Residential,5350 Mariners Way,Liberty Twp,OH,45011,419900,3,2,Liberty Twp.,2007,15464,2018,10,209,33,Active,,,http://www.redfin.com/OH/Liberty-Township/5350-Mariners-Way-45011/home/160576392,39.4166507,-84.4629274
Single Family Residential,6199 Chablis Dr,Liberty Twp,OH,45011,425000,6,3.5,Liberty Twp.,2017,41291,2015,10,211,,Active,,,http://www.redfin.com/OH/Liberty-Township/6199-Chablis-Dr-45011/home/78847878,39.3992486,-84.4710987
Single Family Residential,4720 Winter Park Dr,Liberty Twp,OH,45011,380575,3,3,Liberty Twp.,,,,10,,33,Active,,,http://www.redfin.com/OH/West-Chester-Township/4720-Aster-Park-Dr-45011/home/167454536,39.404091,-84.454788
Single Family Residential,4335 Shandon Dr,Liberty Twp,OH,45011,249900,4,2.5,Liberty Twp.,2110,16117,2002,10,118,,Active,,,http://www.redfin.com/OH/Liberty-Township/4335-Shandon-Dr-45011/home/78959593,39.4003438,-84.4737633
Single Family Residential,1809 Morey Ave,Hamilton,OH,45011,124900,2,1,Hamilton East,1088,,1933,14,115,,Active,,,http://www.redfin.com/OH/Hamilton/1809-Morey-Ave-45011/home/75585893,39.4074206,-84.5347718
Single Family Residential,325 Fair Ave,Hamilton,OH,45011,27300,2,1,Hamilton East,654,8712,1904,15,42,,Active,,,http://www.redfin.com/OH/Hamilton/325-N-Fair-Ave-45011/home/75553484,39.399415,-84.541223
Single Family Residential,3883 Excalibur Ln,Fairfield Twp,OH,45011,345000,4,3,Fairfield Twp.,2249,15089,2013,15,153,39,Active,,,http://www.redfin.com/OH/Hamilton/3883-Excalibur-Ln-45011/home/78827823,39.3807714,-84.4883964
Single Family Residential,6426 Kingsley Ct,Liberty Twp,OH,45011,300000,4,3.5,Liberty Twp.,2428,,1999,16,124,14,Active,,,http://www.redfin.com/OH/Liberty-Township/6426-Kingsley-Ct-45011/home/100677559,39.3945874,-84.4681469
Single Family Residential,5802 Franklin Trl,Liberty Twp,OH,45011,349000,4,3.5,Liberty Twp.,3846,20038,2002,16,91,10,Active,,,http://www.redfin.com/OH/Liberty-Township/5802-Franklin-Trl-45011/home/75577994,39.4081297,-84.4317497
Single Family Residential,8698 Osage Dr,Fairfield Twp,OH,45011,242990,3,2.5,Fairfield Twp.,,,,16,,27,Active,,,http://www.redfin.com/OH/Hamilton/8698-Osage-Dr-45011/home/167208468,39.3921044,-84.5273584
Single Family Residential,1312 Grand Blvd,Hamilton,OH,45011,69900,3,2,Hamilton East,840,,1899,16,83,,Active,,,http://www.redfin.com/OH/Hamilton/1312-Grand-Blvd-45011/home/100692976,39.38229,-84.55033
Single Family Residential,8691 Osage Dr,Fairfield Twp,OH,45011,257990,4,2.5,Fairfield Twp.,,,,17,,27,Active,,,http://www.redfin.com/OH/Hamilton/8691-Osage-Dr-45011/home/167186753,39.3921044,-84.5273584
Single Family Residential,8690 Osage Dr,Fairfield Twp,OH,45011,288470,30,2,Fairfield Twp.,,,,17,,27,Active,,,http://www.redfin.com/OH/Hamilton/8690-Osage-Dr-45011/home/167186724,39.3921044,-84.5273584
Single Family Residential,8703 Osage Dr,Fairfield Twp,OH,45011,268490,4,2.5,Fairfield Twp.,,,,17,,27,Active,,,http://www.redfin.com/OH/Hamilton/8703-Osage-Dr-45011/home/167186669,39.3921044,-84.5273584
Single Family Residential,4660 Happy Ln,Liberty Twp,OH,45011,353990,3,2,Liberty Twp.,,,,18,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/4660-Happy-Ln-45011/home/167183037,39.4081153,-84.4633754
Single Family Residential,730 Ludlow St,Hamilton,OH,45011,150000,5,2,Hamilton East,2226,,1899,18,67,,Active,,,http://www.redfin.com/OH/Hamilton/730-Ludlow-St-45011/home/78833442,39.3951254,-84.5547959
Single Family Residential,5235 Snow Valley Ln,Liberty Twp,OH,45011,299900,4,3.5,Liberty Twp.,3323,7841,2009,18,90,57,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/5235-Snow-Valley-Ln-45011/home/100666092,39.4218679,-84.4477672
Single Family Residential,3850 Dust Commander Dr,Fairfield Twp,OH,45011,229900,3,2.5,Fairfield Twp.,1744,,1978,18,132,,Active,,,http://www.redfin.com/OH/Hamilton/3850-Dust-Commander-Dr-45011/home/75568305,39.3716805,-84.4917797
Single Family Residential,7169 Brightwaters Ct,Liberty Twp,OH,45011,365000,5,3.5,Liberty Twp.,2774,21283,1992,18,132,13,Active,,,http://www.redfin.com/OH/Liberty-Township/7169-Brightwaters-Ct-45011/home/100677952,39.3743055,-84.4238111
Single Family Residential,3151 Hamilton Eaton Rd,St Clair Twp,OH,45011,84500,2,1,St. Clair Twp.,1146,87120,1890,20,74,,Active,,,http://www.redfin.com/OH/Hamilton/3151-Hamilton-Eaton-Rd-45011/home/112981162,39.46802,-84.54464
Single Family Residential,5770 Horseshoe Bend Rd,Liberty Twp,OH,45011,90000,3,1,Liberty Twp.,858,10890,1960,21,105,,Active,,,http://www.redfin.com/OH/Liberty-Township/5770-Horseshoe-Bend-Rd-45011/home/163165515,39.4181092,-84.4679829
Single Family Residential,5986 Sebring Ct,Liberty Twp,OH,45011,399000,4,3.5,Liberty Twp.,,,,23,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/5986-Sebring-Ct-45011/home/160396452,39.4048716,-84.4582696
Single Family Residential,6234 Zilpha Ct,Fairfield Twp,OH,45011,269000,3,2.5,Fairfield Twp.,2435,6534,1997,23,110,125,Active,,,http://www.redfin.com/OH/Hamilton/6234-Zilpha-Ct-45011/home/75578699,39.403655,-84.5122033
Single Family Residential,4067 Fairfield Falls Ct,Fairfield Twp,OH,45011,288900,4,3.5,Fairfield Twp.,3308,10794,2016,23,87,25,Active,,,http://www.redfin.com/OH/Liberty-Township/4067-Fairfield-Falls-Ct-45011/home/144935436,39.4257275,-84.4780744
Single Family Residential,5942 Franklin Trl,Liberty Twp,OH,45011,299000,4,2.5,Liberty Twp.,2239,19998,2002,24,134,10,Active,,,http://www.redfin.com/OH/Liberty-Township/5942-Franklin-Trl-45011/home/100702201,39.4042508,-84.4321536
Single Family Residential,4397 Hidden Oaks Ln,Liberty Twp,OH,45011,575000,5,4.5,Liberty Twp.,,31799,1999,24,,59,Active,,,http://www.redfin.com/OH/Liberty-Township/4397-Hidden-Oaks-Ln-45011/home/100700947,39.377561,-84.4713741
Single Family Residential,7053 Valley Falls Ct,Liberty Twp,OH,45011,390000,4,3.5,Liberty Twp.,3655,,1994,25,107,15,Active,,,http://www.redfin.com/OH/Liberty-Township/7053-Valley-Falls-Ct-45011/home/78917801,39.3770543,-84.448813
Single Family Residential,7141 High Saddle Ct,Liberty Twp,OH,45011,379000,4,2.5,Liberty Twp.,3492,18025,1996,25,109,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/7141-High-Saddle-Ct-45011/home/100677972,39.3743724,-84.4467624
Multi-Family (2-4 Unit),2225 Grand Blvd,Hamilton,OH,45011,75000,6,3,Hamilton East,,6534,1954,25,,,Active,,,http://www.redfin.com/OH/Hamilton/2225-Grand-Blvd-45011/home/100693322,39.3810933,-84.5389487
Single Family Residential,5290 Mariners Way,Liberty Twp,OH,45011,394900,3,2.5,Liberty Twp.,2209,12023,,29,179,33,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/5290-Mariners-Way-45011/home/163038363,39.4156062,-84.4641397
Single Family Residential,3208 Tolbert Rd,Wayne Township,OH,45011,189700,3,2,Roger Wills,2160,37801,1971,29,88,,Active,,,http://www.redfin.com/OH/Hamilton/3208-Tolbert-Rd-45011/home/75585250,39.5240264,-84.5457048
Single Family Residential,1161 Kahn Ave,Hamilton,OH,45011,44900,2,1,Hamilton East,1412,,1899,29,32,,Active,,,http://www.redfin.com/OH/Hamilton/1161-Kahn-Ave-45011/home/75586465,39.3849292,-84.54343
Single Family Residential,5303 Woodview Way Unit AT-9,Liberty Twp,OH,45011,489900,4,2.5,Liberty Twp.,3226,28270,,32,152,50,Active,July-27-2019 12:00 AM,July-27-2019 11:59 PM,http://www.redfin.com/OH/Unknown/5303-Woodview-Way-45011/unit-AT-9/home/146951059,39.4216168,-84.4400786
Single Family Residential,5779 Chancery Pl,Liberty Twp,OH,45011,369900,4,3.5,Liberty Twp.,3658,,1995,32,101,68,Active,,,http://www.redfin.com/OH/Liberty-Township/5779-Chancery-Pl-45011/home/63716708,39.3771754,-84.4289395
Single Family Residential,206 Highland Ave,New Miami,OH,45011,60000,3,1,St. Clair Twp.,960,,1950,33,63,,Active,,,http://www.redfin.com/OH/Hamilton/206-Highland-Ave-45011/home/100683098,39.4286583,-84.5375306
Single Family Residential,6411 Lakerun Ct,Fairfield Twp,OH,45011,215000,4,2.5,Fairfield Twp.,2709,,1999,36,79,27,Active,,,http://www.redfin.com/OH/Hamilton/6411-Lakerun-Ct-45011/home/100670253,39.3947703,-84.4967156
Single Family Residential,4665 Happy Ln,Liberty Twp,OH,45011,414990,3,3,Liberty Twp.,,,,37,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/4665-Happy-Ln-45011/home/167111526,39.4081153,-84.4633754
Single Family Residential,5915 Tilbury Trl,Liberty Twp,OH,45011,424900,3,2,Liberty Twp.,,,,37,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/5915-Tilbury-Trl-45011/home/146075172,39.4050186,-84.444205
Single Family Residential,4770 Links Ln,Liberty Twp,OH,45011,244900,4,3,Liberty Twp.,2012,16117,2003,38,122,29,Active,,,http://www.redfin.com/OH/Liberty-Township/4770-Links-Ln-45011/home/100678764,39.4275468,-84.4568713
Single Family Residential,5370 Mariners Way,Liberty Twp,OH,45011,339900,3,2,Liberty Twp.,,,,39,,33,Active,,,http://www.redfin.com/OH/Hamilton/5370-Mariners-Way-45011/home/146042373,39.4168961,-84.4623978
Single Family Residential,5527 Trails Run Ct,Liberty Twp,OH,45011,675000,4,3.5,Liberty Twp.,3888,18186,2016,43,174,85,Active,,,http://www.redfin.com/OH/Liberty-Township/5527-Trails-Run-Ct-45011/home/64459845,39.3932188,-84.4356058
Single Family Residential,5604 Lesourdsville West Chester Rd,Liberty Twp,OH,45011,209900,3,1.5,Liberty Twp.,1480,,1960,43,142,,Active,,,http://www.redfin.com/OH/Liberty-Township/5604-W-Lesourdsville-Chester-Rd-45011/home/100677074,39.4124067,-84.4351135
Single Family Residential,7340 Dixon Dr,Fairfield Twp,OH,45011,267000,4,2.5,Fairfield Twp.,2248,31943,1989,43,119,6,Active,,,http://www.redfin.com/OH/Hamilton/7340-Dixon-Dr-45011/home/75568209,39.3746212,-84.4958141
Single Family Residential,325 N Eastview Pkwy,Hamilton,OH,45011,117000,3,1.5,Hamilton East,1165,7013,1952,43,100,,Active,,,http://www.redfin.com/OH/Hamilton/325-N-Eastview-Pkwy-45011/home/78863064,39.4052971,-84.5311504
Single Family Residential,5743 Watoga Dr #123,Liberty Twp,OH,45011,523000,4,3.5,Liberty Twp.,3801,17860,,44,138,31,Active,,,http://www.redfin.com/OH/Liberty-Township/5743-Watoga-Dr-45011/unit-123/home/167083440,39.406233,-84.424147
Single Family Residential,5292 River Ridge Dr,Fairfield Twp,OH,45011,258500,3,3.5,Fairfield Twp.,2360,5602,2016,44,110,21,Active,,,http://www.redfin.com/OH/Liberty-Township/5292-River-Ridge-Dr-45011/home/144935443,39.4256204,-84.4791607
Single Family Residential,5803 Watoga Dr #122,Liberty Twp,OH,45011,474000,4,3.5,Liberty Twp.,2995,15716,,44,158,31,Active,,,http://www.redfin.com/OH/Liberty-Township/5803-Watoga-Dr-45011/unit-122/home/167082927,39.406233,-84.424147
Single Family Residential,5791 Catawba Ct,Liberty Twp,OH,45011,399900,5,3,Liberty Twp.,2390,39640,2000,45,167,38,Active,,,http://www.redfin.com/OH/Liberty-Township/5791-Catawba-Ct-45011/home/100701920,39.4101225,-84.4246729
Single Family Residential,5839 Happy Ln,Liberty Twp,OH,45011,362475,4,3.5,Liberty Twp.,,,,45,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/5839-Happy-Ln-45011/home/167078521,39.4080259,-84.4632873
Single Family Residential,7122 Valley Falls Ct,Liberty Twp,OH,45011,374900,4,3,Liberty Twp.,2966,19166,1994,47,126,12,Active,,,http://www.redfin.com/OH/Liberty-Township/7122-Valley-Falls-Ct-45011/home/78764303,39.3753594,-84.4475622
Single Family Residential,5280 Mariners Way,Liberty Twp,OH,45011,409600,4,3,Liberty Twp.,3377,12036,,48,121,33,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Liberty-Township/5280-Mariners-Way-45011/home/163167899,39.415426,-84.4643194
Single Family Residential,385 Charleton Ct,Fairfield,OH,45011,245000,3,2.5,Fairfield,2165,11857,1996,49,113,,Active,,,http://www.redfin.com/OH/Hamilton/385-Charleton-Ct-45011/home/100675214,39.3622738,-84.4986006
Single Family Residential,6739 Stillington Dr,Liberty Twp,OH,45011,299900,4,3,Liberty Twp.,2532,23217,1998,49,118,,Active,,,http://www.redfin.com/OH/Liberty-Township/6739-Stillington-Dr-45011/home/100678123,39.3838517,-84.4187027
Single Family Residential,435 N Fair Ave,Hamilton,OH,45011,117500,2,1,Hamilton East,1090,6970,1884,49,108,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Hamilton/435-N-Fair-Ave-45011/home/100691987,39.4007257,-84.5409833
Single Family Residential,4751 Springwood Ct,Liberty Twp,OH,45011,272000,4,3.5,Liberty Twp.,3892,,2009,50,70,17,Active,,,http://www.redfin.com/OH/Liberty-Township/4751-Springwood-Ct-45011/home/78818738,39.4211146,-84.4548209
Single Family Residential,5416 Foxglove Dr,Fairfield Twp,OH,45011,364900,3,2.5,Fairfield Twp.,2237,11252,2016,50,163,27,Active,,,http://www.redfin.com/OH/Hamilton/5416-Foxglove-Dr-45011/home/113308165,39.4193337,-84.4867284
Single Family Residential,6471 Stagecoach Way,Liberty Twp,OH,45011,650000,4,4,Liberty Twp.,3242,25112,2017,51,200,79,Active,,,http://www.redfin.com/OH/Liberty-Township/6471-Stagecoach-Way-45011/home/113658167,39.3936006,-84.4411762
Single Family Residential,5467 Mystic Way,Liberty Twp,OH,45011,379500,5,3,Liberty Twp.,2834,12232,,51,134,33,Active,,,http://www.redfin.com/OH/Liberty-Twp/5467-Mystic-Way-45011/home/146118272,39.417053,-84.464203
Single Family Residential,5946 Watoga Dr,Liberty Twp,OH,45011,595000,5,4.5,Liberty Twp.,4856,15442,2016,51,123,29,Active,,,http://www.redfin.com/OH/Liberty-Township/5946-Watoga-Dr-45011/home/104484974,39.403711,-84.424828
Single Family Residential,7046 Clawson Ridge Ct,Liberty Twp,OH,45011,275000,4,3.5,Liberty Twp.,4474,,1993,52,61,16,Active,,,http://www.redfin.com/OH/Liberty-Township/7046-Clawson-Ridge-Ct-45011/home/100677978,39.377153,-84.4496128
Single Family Residential,822 Dayton St,Hamilton,OH,45011,99900,3,2,Hamilton East,1520,5580,1910,52,66,,Active,,,http://www.redfin.com/OH/Hamilton/822-Dayton-St-45011/home/75575098,39.3995516,-84.5512233
Single Family Residential,35 Olinger Dr,New Miami,OH,45011,89900,3,1,St. Clair Twp.,816,,,52,110,,Active,,,http://www.redfin.com/OH/Hamilton/35-Olinger-Dr-45011/home/100682800,39.431452,-84.5423448
Single Family Residential,123 Hanover St,Hamilton,OH,45011,24900,3,1,Hamilton East,1752,,,52,14,,Active,,,http://www.redfin.com/OH/Hamilton/123-Hanover-St-45011/home/100691151,39.3904203,-84.5674418
Single Family Residential,1223 Vanderveer Ave,Hamilton,OH,45011,79999,3,1.5,Hamilton East,1280,,1915,55,62,,Active,,,http://www.redfin.com/OH/Hamilton/1223-Vanderveer-Ave-45011/home/78832397,39.3957167,-84.5466568
Single Family Residential,5131 Alpine Ct,Liberty Twp,OH,45011,297900,4,3.5,Liberty Twp.,2724,,2008,56,109,17,Active,,,http://www.redfin.com/OH/Liberty-Township/5131-Alpine-Ct-45011/home/100665445,39.4220618,-84.4452739
Single Family Residential,5623 Watoga Dr #125,Liberty Twp,OH,45011,459500,3,2,Liberty Twp.,2356,16117,,56,195,31,Active,,,http://www.redfin.com/OH/Liberty-Township/5623-Watoga-Dr-45011/unit-125/home/166918950,39.406233,-84.424147
Single Family Residential,5369 Aspen Valley Dr,Liberty Twp,OH,45011,449900,4,4,Liberty Twp.,5365,16161,2005,57,84,58,Active,,,http://www.redfin.com/OH/Liberty-Township/5369-Aspen-Valley-Dr-45011/home/100664434,39.4183969,-84.442246
